Company,TypeName,Inches,ScreenResolution,Cpu,Gpu,OpSys,TouchScreen,Ips,X_res,Y_res,ppi,Dedicated_Gpu,Ram_GB,Weight_kg,SSD,HHD,Storage_Type,Total_Storage_GB,Storage_Category,Price
MSI,MSI Cyborg 17,17.3,Full HD (1080p),Intel Core 9 270H,NVIDIA GeForce RTX 5060 (Laptop),Windows,1,1,1920,1080,127.34,1,16,2.5,1000,0,SSD Only,1000,Standard (512GB-1TB),1707.8
Acer,Acer TravelMate P6 14 AI,14,2880 x 1800,Intel Core Ultra 7 256V,Intel Arc Graphics 140V,Windows,1,1,2880,1800,242.59,1,16,0.99,1000,0,SSD Only,1000,Standard (512GB-1TB),1708.8
HP,HP EliteBook Ultra 14 G1q,14,2240 x 1400,Qualcomm Snapdragon X Elite X1E-78-100,Qualcomm Snapdragon X Elite Adreno GPU,Windows,1,1,2240,1400,188.68,1,32,1.34,512,0,SSD Only,512,Standard (512GB-1TB),1831.2
Acer,Acer Predator Helios Neo 16 AI,16,2560 x 1600,Intel Core Ultra 9 275HX,NVIDIA GeForce RTX 5070 Ti (Laptop),Windows,1,1,2560,1600,188.68,1,64,2.7,2000,0,SSD Only,2000,High (1-2TB),2928.8
Dell,Dell Latitude 13 5350,13.3,Full HD (1080p),Intel Core Ultra 5 125U,Intel Graphics (4-Cores),Windows,1,1,1920,1080,165.63,0,16,1.23,512,0,SSD Only,512,Standard (512GB-1TB),1390.2
MSI,MSI Modern 15 H AI,15.6,Full HD (1080p),Intel Core 9 270H,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1080,141.21,0,32,1.7,1000,0,SSD Only,1000,Standard (512GB-1TB),1776.8
Microsoft,Microsoft Surface Laptop 7,13.8,2304 x 1536,Intel Core Ultra 5 238V,Intel Arc Graphics 130V,Windows,1,1,2304,1536,200.66,1,32,1.35,256,0,SSD Only,256,Basic (256-512GB),1874
ASUS,ASUS ROG Strix G16,16,1920 x 1200,Intel Core i7-13650HX,"NVIDIA GeForce RTX 4070 (Laptop, 140W)",Windows,1,1,1920,1200,141.51,1,32,2.5,1000,0,SSD Only,1000,Standard (512GB-1TB),1988.8
HP,HP 15,15.6,Full HD (1080p),AMD Ryzen 5 7520U,AMD Radeon 610M,Windows,1,1,1920,1080,141.21,1,16,1.6,1000,0,SSD Only,1000,Standard (512GB-1TB),1656.8
ASUS,ASUS ExpertBook B1/BM1,15.6,Full HD (1080p),AMD Ryzen 5 7535HS,AMD Radeon 660M,Windows,1,1,1920,1080,141.21,1,16,1.55,2000,0,SSD Only,2000,High (1-2TB),1856.8
ASUS,ASUS VivoBook 15 F512,15.6,Full HD (1080p),AMD Ryzen 3 3250U,AMD Radeon RX Vega 3,Windows,0,0,1920,1080,141.21,1,8,1.75,512,0,SSD Only,512,Standard (512GB-1TB),1399.2
HP,HP ENVY x360 16,16,1920 x 1200,AMD Ryzen 7 8840HS,AMD Radeon 780M,Windows,1,1,1920,1200,141.51,1,16,1.91,1000,0,SSD Only,1000,Standard (512GB-1TB),1668.8
ASUS,ASUS VivoBook 15 F512,15.6,Full HD (1080p),AMD Ryzen 3 3250U,AMD Radeon RX Vega 3,Windows,0,0,1920,1080,141.21,1,20,1.75,1000,0,SSD Only,1000,Standard (512GB-1TB),1736.8
ASUS,ASUS Vivobook 14,14,Full HD (1080p),Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,0,0,1920,1080,157.35,0,12,1.4,512,0,SSD Only,512,Standard (512GB-1TB),1331.2
ASUS,ASUS Vivobook 14,14,Full HD (1080p),Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,0,0,1920,1080,157.35,0,12,1.4,1000,0,SSD Only,1000,Standard (512GB-1TB),1428.8
ASUS,ASUS Vivobook 15 F1504,15.6,Full HD (1080p),Intel Core i7-1255U,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1080,141.21,0,16,1.7,512,0,SSD Only,512,Standard (512GB-1TB),1359.2
Lenovo,Lenovo IdeaPad 3i,15.6,Full HD (1080p),Intel Core i3-1115G4,Intel UHD Graphics Xe G4 (48EU),Windows,0,0,1920,1080,141.21,0,12,1.65,512,0,SSD Only,512,Standard (512GB-1TB),419
Huawei,Huawei MateBook 14s,14.2,2560 x 1680,Intel Core i5-11300H,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,2560,1680,215.64,0,16,1.43,512,0,SSD Only,512,Standard (512GB-1TB),1417.2
Lenovo,Lenovo IdeaPad 1,15.6,Full HD (1080p),AMD Ryzen 5 5625U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",Windows,1,1,1920,1080,141.21,1,8,1.55,512,0,SSD Only,512,Standard (512GB-1TB),1399.2
HP,HP ZBook Fury 16 G10,16,1920 x 1200,Intel Core i7-13850HX,NVIDIA RTX 2000 Ada Generation (65W),Windows,1,1,1920,1200,141.51,1,64,2.35,2000,0,SSD Only,2000,High (1-2TB),2828.8
HP,HP EliteBook 845 G8,14,Full HD (1080p),AMD Ryzen 5 PRO 5650U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",Windows,1,1,1920,1080,157.35,1,16,1.37,256,0,SSD Only,256,Basic (256-512GB),1560
HP,HP ZBook 8 G1a,14,1920 x 1200,AMD Ryzen AI 7 PRO 350,AMD Radeon 860M,Windows,1,1,1920,1200,161.73,1,32,1.43,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
Acer,Acer Aspire Vero,16,1920 x 1200,Intel Core Ultra 5 125U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,141.51,0,8,1.8,2000,0,SSD Only,2000,High (1-2TB),1508.8
HP,HP 15,15.6,"HD (720p, 768p, 900p)",Intel Core i3-7020U,Intel HD Graphics 620,Windows,0,0,1280,720,94.14,1,8,2.04,512,0,SSD Only,512,Standard (512GB-1TB),1399.2
Lenovo,Lenovo ThinkPad L14 Gen 6,14,1920 x 1200,AMD Ryzen AI 7 PRO 350,AMD Radeon 860M,Windows,1,1,1920,1200,161.73,1,32,1.38,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
Lenovo,Lenovo IdeaPad Slim 5/5i,16,1920 x 1200,AMD Ryzen AI 7 350,AMD Radeon 860M,Windows,1,1,1920,1200,141.51,1,16,1.65,1000,0,SSD Only,1000,Standard (512GB-1TB),1668.8
HP,HP EliteBook 8 G1i,13.3,1920 x 1200,Intel Core Ultra 7 255U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,170.24,0,32,1.28,1000,0,SSD Only,1000,Standard (512GB-1TB),1807.8
ASUS,ASUS Vivobook 14,14,Full HD (1080p),Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,0,0,1920,1080,157.35,0,8,1.4,256,0,SSD Only,256,Basic (256-512GB),1200
HP,HP 15,15.6,"HD (720p, 768p, 900p)",Intel Core i7-1355U,Intel Iris Xe Graphics G7 (96EU),Windows,0,0,1280,720,94.14,0,64,1.6,4000,0,SSD Only,4000,Very High (> 2TB),3016.8
Acer,Acer Aspire 5,15.6,Full HD (1080p),Intel Core i7-1355U,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1080,141.21,0,16,1.77,3000,0,SSD Only,3000,Very High (> 2TB),1856.8
MSI,MSI Vector GP68 HX,16,2560 x 1600,Intel Core i9-12900H,"NVIDIA GeForce RTX 4080 (Laptop, 175W)",Windows,1,1,2560,1600,188.68,1,32,2.67,1000,0,SSD Only,1000,Standard (512GB-1TB),2088.8
MSI,MSI Vector GP68 HX,16,2560 x 1600,Intel Core i9-13950HX,"NVIDIA GeForce RTX 4080 (Laptop, 175W)",Windows,1,1,2560,1600,188.68,1,32,2.67,1000,0,SSD Only,1000,Standard (512GB-1TB),2088.8
